City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
mallapuram,11.9667,78.25,82.74,50,100,7.14,IN,1624423336
esperance,-33.8667,121.9,55.24,75,100,25.68,AU,1624423337
papar,5.7333,115.9333,89.6,62,99,5.53,MY,1624423338
la palma,33.8464,-118.0467,79.41,73,75,5.01,US,1624423340
sola,-13.8833,167.55,79.21,77,88,19.13,VU,1624423341
ragay,13.8183,122.7923,87.53,65,99,10.38,PH,1624423342
buraydah,26.326,43.975,86.45,11,0,10.45,SA,1624423343
ambilobe,-13.2,49.05,71.83,60,0,5.26,MG,1624423345
maneadero,31.7167,-116.5667,66.09,87,89,1.99,MX,1624423269
henties bay,-22.116,14.2845,56.86,86,0,6.31,NA,1624423347
quime,-16.9833,-67.2167,44.49,92,72,2.73,BO,1624423348
elektrenai,54.7667,24.6333,77.92,87,24,6.26,LT,1624423349
ust-omchug,61.15,149.6333,46.24,86,100,1.34,RU,1624423352
san cristobal,7.7669,-72.225,62.85,91,88,2.15,VE,1624423353
okhotsk,59.3833,143.3,53.19,71,97,4.47,RU,1624423354
poquoson,37.1224,-76.3458,70.0,87,1,5.75,US,1624423356
klaksvik,62.2266,-6.589,47.32,85,98,2.66,FO,1624423357
honningsvag,70.9821,25.9704,46.15,76,20,4.61,NO,1624423358
neuquen,-38.9516,-68.0591,46.29,93,0,5.75,AR,1624423186
comodoro rivadavia,-45.8667,-67.5,42.66,87,90,4.61,AR,1624423296
helong,42.5397,128.9972,75.16,42,0,6.46,CN,1624423361
bathsheba,13.2167,-59.5167,79.41,69,20,19.57,BB,1624423363
nova olimpia,-14.7972,-57.2881,71.98,54,53,2.19,BR,1624423364
verkhnevilyuysk,63.4453,120.3167,91.81,25,83,4.54,RU,1624423365
cintalapa,16.6951,-93.7272,71.02,94,100,2.95,MX,1624423367
bilibino,68.0546,166.4372,68.23,37,91,3.56,RU,1624423368
boa vista,2.8197,-60.6733,75.18,88,40,2.3,BR,1624423369
nakhon thai,17.1006,100.8374,88.79,65,94,5.59,TH,1624423370
akyab,20.15,92.9,82.92,79,100,12.44,MM,1624423372
solnechnyy,50.7214,136.6319,71.44,71,94,2.13,RU,1624423373
rosetta,31.4044,30.4164,73.22,67,0,5.64,EG,1624423374
naze,28.3667,129.4833,81.52,72,97,17.07,JP,1624423375
chokurdakh,70.6333,147.9167,79.3,21,0,5.7,RU,1624423377
yala,6.3333,101.25,88.95,49,38,4.94,TH,1624423378
mount pleasant,32.7941,-79.8626,75.97,93,1,5.01,US,1624423228
maniitsoq,65.4167,-52.9,44.74,72,92,10.96,GL,1624423380
ler,8.3018,30.1418,74.53,76,100,4.03,SS,1624423382
bucerias,20.75,-105.3333,77.99,94,100,3.33,MX,1624423367
canakkale,40.0833,26.8333,63.21,60,2,0.63,TR,1624423385
auki,-8.7676,160.7034,82.11,74,97,6.73,SB,1624423386
helena,46.5927,-112.0361,79.79,37,1,4.0,US,1624423387
qui nhon,13.7667,109.2333,94.57,50,18,6.4,VN,1624423389
cayenne,4.9333,-52.3333,80.1,80,0,1.99,GF,1624423390
san jeronimo,-11.9472,-75.2829,42.78,83,8,1.34,PE,1624423391
alamogordo,32.8995,-105.9603,78.57,59,68,13.42,US,1624423393
